sanderson@shiny:~/code/snelps/lib$ ruby-prof ../src/pathfinder_ll.rb 
20790.815376
nodes considered:[5134]
heuristics calc'd:[19845]
nil
Thread ID: 2742020
Total: 1669.23

 %self     total     self     wait    child    calls  name
 54.37   1548.27   907.51     0.00   640.76    59532  Array#each-1
 25.02    417.70   417.70     0.00     0.00 203112036  Node#x
 13.04    217.68   217.68     0.00     0.00 105452068  Fixnum#==
  4.03    111.33    67.22     0.00    44.11    24977  LinkedList#each_element
  0.92     15.41    15.41     0.00     0.00  7943482  Node#y
  0.55     13.37     9.21     0.00     4.16  2165990  Struct#==
  0.52      8.68     8.68     0.00     0.00  4332602  Node#h
  0.29      4.80     4.80     0.00     0.00  2161513  LinkedList::ListElem#obj
  0.25      4.15     4.15     0.00     0.00  2156379  Kernel#==
  0.24      4.06     4.06     0.00     0.00  2156379  Fixnum#>
  0.24      3.96     3.96     0.00     0.00  2178496  LinkedList::ListElem#next
  0.10      2.82     1.66     0.00     1.16    19845  Pathfinder#diagonal_heuristic
  0.08      2.91     1.34     0.00     1.57    41072  Pathfinder#is_valid?
  0.07   1667.54     1.13     0.00  1666.41     5135  Array#each
  0.05      1.08     0.87     0.00     0.21    40318  Map#has_obstacle?
  0.02      0.70     0.32     0.00     0.38    46208  <Class::Node>#new
  0.02      0.98     0.27     0.00     0.71     5134  Pathfinder#adjacent_nodes
  0.02      0.26     0.26     0.00     0.00    95473  Fixnum#+
  0.01      0.23     0.23     0.00     0.00    51343  Struct#initialize
  0.01      0.23     0.23     0.00     0.00   130029  Fixnum#-
  0.01      0.21     0.21     0.00     0.00   121475  Fixnum#>=
  0.01      0.26     0.18     0.00     0.08     5134  LinkedList#shift
  0.01      0.18     0.18     0.00     0.00    79380  Fixnum#abs
  0.01   1669.22     0.17     0.00  1669.05        1  Pathfinder#find
  0.01      0.16     0.16     0.00     0.00    46208  <Class::Node>#allocate
  0.01      0.24     0.16     0.00     0.08     2895  LinkedList#place
